"Name_of_hotel_name","Name_of_hotel_address_name","Name_of_hotel_discounted_price","Name_of_hotel_discounted_price_url","Name_of_hotel_ratings"
"pentahotel Hong Kong Tuen Mun","6 Tsun Wen Road,","$63","https://www.hotels.com/travelads/trackredirect.html?trackingUrl=H4sIAAAAAAAAAD1TyY6rSAD7m77kdVMsDaGlaMQaSCCENcBlxFJABQKEpVi-fnrmMBdbtmX55Gqa-vGHIKYhwbBJ8vGr7vIcfWXdi_D-84R8dOGAUQYJzBBaN8Fm_D-SGpTVf_2Wsxq1pZxMyUl69Z9On488sKYHhZs9JSngHmeRHeMFh_G1DcV4uZ_FhnDZS_-8Kh3NE5ZmrNfO0gJUxvZh21tDjssVp4iGQ8Bd71FF6uoVz5eQ7iZLl-nk_B6IodYpyz0aXeid5XxXZD6v7VALoul1WWRCS_SXLMCQrDqTk7Vr2tsveqY0qvcCjt6Knjej0YkV2lHXxH_SwXCbHpKiKqiwOVJqweugGcOS2zy-WkUk8L5d3JmVbfl2HcEQC3vKtlbhbU95U61Xq1XPm0sFoq9IkTdQkObOjZMRa6dWXSMjZiOqtHaokp4lE0CFbHU9Pq5rnZlgLh6FUqVqgbmIs6_3OtB3j_P5vH8kOUwlUd765F6I35XwpKtnnRPnHMyxRxfWpsrPPIJqqDdZIfksR-x1dYRHYL56FvqoHThPqah0Os_vEjV7hvbXaBOkBbfLsQLDDdvySGwzy9EaYyBXi99IXKrjZQtxyVBa0CvD_mBGX9jnITjvIvWE9uoWl9UrMvEse1jWmqSir7TH1DPVh24WosNEqvMFWfbrxlhur_eYG27IsJBSYkeKfaqLeh8tPTn0F3OurT1TASmYoRTvrmy7IVWwPAZCbIjqFDzzoN9tyDjmqj_J43wx_bMRFCJXBQvHKzU5zYYjyaV275xGSaqWZAoh4RfRvws9DYL2wY3L_GjMbjtz-jNdnLqL3v796j0nE6hAqpNUxqTrxr33-wHGZ5qbWlrSrViUYJt4N3VYCdo28BcEyfGdlESFzqP_ArU5OJVUediI6bM9h29F6Jn9oBDzfPk2dFi8XfZ9e0yp3i7s1YtGWvIubMIdeuI2Lkq5A6skQiJMebzZ3SJOiTXuYoDNhjjcc_hYzNXMp0QgKcgJ7nI1zIaMvPLAHkgxqYp6W438rdlGW8g-3tm7qfeRhTsa1XJ0mNxkyB6JNfvNcKPKZHup9I2hcMq_u8X3GlLHbu_gKwV8iaQ68H1gtFubYwLFc9UewCD4KHhERke0k6PG1cCWOQskBj_BFpKM7Bt0TIFjkTT71pEH-3T6GJK2PlEfExynAA4j6loLw2FAOTzRHM19gT8M881-kX8YniV_FUeyzC_x4F9keZ76Ah9Z0uYoTyaovc4zyk8fKUyyrtXHcYb5iQLk8ZMEnxTvAf7nm_0Bx4-x6abxpLnO3-JH341o-t09cf8ApKDwYdsEAAA.&targetUrl=H4sIAAAAAAAAAEWNyw6CMBQF_-buGvpAxcWNGwFjYnxgorCrbRMascVS_t9uDJuzmZmcrPfrIt9yke2-RPVGvYmfI3LKCsIYoRyqyxU5_KF1C2PwOJe4SrvHPBnB-w-hSbSDDsYhhVHiBqJ8oTaTCnaM1js4Hm7IFl3qeYhTumjrCgWc6nuiXfNMedOWKH4mqI6PogAAAA..#rooms-and-rates-anchor","Very Good 8.4"
"pentahotel Hong Kong Tuen Mun","Tuen Mun,","$63","-''-","Very Good 8.4"
"pentahotel Hong Kong Tuen Mun","Hong Kong SAR China","$63","-''-","Very Good 8.4"
"Somerset Victoria Park Hong Kong","118 Electric Rd,","$138","https://www.hotels.com/travelads/trackredirect.html?trackingUrl=H4sIAAAAAAAAAD1TR4-zWBD8N3PhmyGnkayVwWDABGMDxlxWhEcw4REeYPj1693DXrpV1SqVVKouEeqnXxxHY7yAJs6mnxpmWfWTwhb3_uOO2XQH41KlAF8YXIMINNP_J7mp0vqvjzitq644xSg-yG3_TT-bp8wmio8qZ75wkxqn7W3WmcWPsF7aQz_0YdsVHK8NQIxb7pKvsT1aUXWSRKnCwiF8rfuK1yohJT5mRpLlMEUY5t3qCIUX1LiTSWJQLcHs2W0kcM2dtK1i67wkhNFNGFDDjemcuqIsjO8W5bL8MvV7hTn8HDc7lfrYUN4io_Ph9bHvin5-coOxKs_lCGghOQnv7rwrAXUh-sgZL15blcFwnnh8P8YqSysASa_wkpbMujUKX3oP-c1CLG_qgigU53Gr6P7Nvh-8Sy36q64S30IQAGlFQ_jUzQ0YPNzOLJbhhWS_5VJ_sVPojc_OcjR7KAamHZ_4RUWeMu5AlbmbZPguOOFBuPH4BBZ8hYZx9LdyTuk7mY91OrZ7sRIxnsybSeojdiVdRZDSwBvCmBsnRX_O2Z3Qy5dUaOtsqq_ejSJA0qt42pkXaBu4p7x3dvtjm9J6y_R6QLfreB9rh38m8KSiUUC4U5ae45wHO9t6Y8-vBjxLJr3bxfxUnnS362-69qOLxwikH9PU_U6KpnDzx_ouLI0aMW8xhLOSamv98iWqWNYBMqIbBYn_rpTkdmwnRdEmrcIzEbrCFmu8A4edOpsb33TufsXioBxbunkTuIHL3J1G5JEm1PWKivOJ1nLyE_c7ociif2DUUQYcm5rQMueKeW_8lXUerWZ9Ku5X5f6qbYUIg2yHKlE09HJz0XJhndW2iD4BfNehoXL9wYKhbDBu3icqZnWa3Sxei3eff8BKm9dlXc4CgUbKaQj6AUjXFnoq3vDLAxtOhjK6n1Z4baaOz-SevuSseOCtKsASNF3OzSRoEpMarBFncQm0wFvV6UWYDKT2Ra0ZVlNXvMhFiJmlSHoCPWwDaQYi1fbDkSw5pw4relvPSVNMRkpeZHk1XbzL1uDBugUihPRyJMXTw8uXhC75Qso6VYcOSh5KyFdKR26b5_SKdzl3qG5ckTKsOJ_U3I5WOo1eC-1idjJbBhOVVVleuFp25oLB9lgSrtIJ9zgMcwqnrw9fY9zVB_oLgQkFYJwq2DkLGMcqAweap_kf4g_DsNwP-YcROfKDeJJjPksk_p2cKFI_xFcad1mVxQho7XmussNXAuIUdvo0zSA7UAQpfJPENyV6hPjLcr-E8DU1EE0H7X77W_7q4VShj-9B-Af0SuXmzwQAAA..&targetUrl=H4sIAAAAAAAAAEWNyw6CMBRE_-buGtoCSV3cuBEwJsYHJoo7bJvQiC2W8v_ejWEzizlnMtkQCsXLjcq2X6YHq98sLAklF4oJwbiE-nzBHP7Q-ZUJuJ8qLCl3WJARQ_gwTqIbTbQeOUw9Kkj9C42ddXRTcsHDYX9Fueq9WcY0U9M1NR0dmxsKeLYPmrddhfkPHPsxr6IAAAA.#rooms-and-rates-anchor","Very Good 8.2"
"Somerset Victoria Park Hong Kong","Causeway Bay,","$138","-''-","Very Good 8.2"
"Somerset Victoria Park Hong Kong","Hong Kong,","$138","-''-","Very Good 8.2"
"Somerset Victoria Park Hong Kong","00000,","$138","-''-","Very Good 8.2"
"Somerset Victoria Park Hong Kong","Hong Kong SAR China","$138","-''-","Very Good 8.2"
"The Wharney Guang Dong Hotel","57-73 Lockhart Road, Wanchai,","$104","https://www.hotels.com/ho211624/?q-check-out=2018-11-02&FPQ=3&q-check-in=2018-11-01&WOE=5&WOD=4&q-room-0-children=0&pa=9&tab=description&JHR=2&q-room-0-adults=2&YGF=3&MGT=1&ZSX=0&SYE=3#rooms-and-rates-anchor","Good 7.6"
"The Wharney Guang Dong Hotel","Hong Kong,","$104","https://www.hotels.com/ho211624/?q-check-out=2018-11-02&FPQ=3&q-check-in=2018-11-01&WOE=5&WOD=4&q-room-0-children=0&pa=9&tab=description&JHR=2&q-room-0-adults=2&YGF=3&MGT=1&ZSX=0&SYE=3#rooms-and-rates-anchor","Good 7.6"
"The Wharney Guang Dong Hotel","Hong Kong SAR China","$104","https://www.hotels.com/ho211624/?q-check-out=2018-11-02&FPQ=3&q-check-in=2018-11-01&WOE=5&WOD=4&q-room-0-children=0&pa=9&tab=description&JHR=2&q-room-0-adults=2&YGF=3&MGT=1&ZSX=0&SYE=3#rooms-and-rates-anchor","Good 7.6"
